item_id,receipt_id,file_name,raw_name,quantity,unit,price,matched_product_id,confidence,uncertain,normalized_name,BLS_match,closest_5_after_BLS,OFF_match,closest_5_after_OFF,Fallback_category,BLS,OFF,Fallback,comment
1827153b-b012-453b-926f-c3df158cae91,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Banane Fair Bio 2,35 A",1.182,kg,2.35,,0.5,TRUE,Banane Fair Bio,Banane roh [bls_code=F503100] conf=0.85 (fuzzy),"Banane roh (0.85) | Bananenchips frittiert, gesüßt (0.85) | Kochbanane roh (0.85) | Fruchtmischung (Apfel, Banane, Mandarine) ungesüßt (0.85) | Banane getrocknet (0.85)",Banane BIO [off_id=3250393062582] conf=1.00 (fuzzy),Barres céréales Banane Chocolat noir (0.85) | Banane BIO (1.00) | (no name) (0.60) | Banane Joghurt (0.85) | Banane Bio Max Havelaar (1.00),fruit,good,good,good,
592f30db-ea4d-4418-a314-b03d96f7a074,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Zwiebeln weiß 1,28 A",356,kg,1.28,,0.5,TRUE,Zwiebeln weiß,"Weiße Rübe/Wasserrübe/Herbstrübe, roh [bls_code=G614100] conf=0.85 (fuzzy)","Weiße Rübe/Wasserrübe/Herbstrübe, roh (0.85) | Heilbutt/Weißer Heilbutt, roh (0.85) | Johannisbeere weiß, roh (0.85) | Weizenbrot/Weißbrot (0.85) | Quinoa weiß, roh (0.85)",Zwiebeln weiss [off_id=4063367118326] conf=0.89 (fuzzy),Zwiebeln weiss (0.89) | Gemüse - Zwiebeln weiss (0.85),vegetable,bad,good,good,
97af5108-17a5-480b-af76-e0f0b2e841f3,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Bioland Zucchini 1,49 A",1.0,piece,1.49,,0.5,TRUE,Bioland Zucchini,"Schwein Speck, ohne Schwartenzug (S VII) roh [bls_code=U605700] conf=0.85 (fuzzy)","Schwein Speck, ohne Schwartenzug (S VII) roh (0.85) | Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet (0.85) | Roggenmischbrot (0.85) | Zucchini roh (0.85) | Sojakochcreme (0.85)",,Zucchini (0.85),other,bad,bad,bad,
c3138c2f-675b-4c0d-9b6b-37c3472fcd15,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Petersilie 1,39 A",1.0,piece,1.39,,0.5,TRUE,Petersilie,Petersilienblatt getrocknet [bls_code=G250400] conf=0.85 (fuzzy),Petersilienblatt getrocknet (0.85) | Petersilienblatt roh (0.85) | Wurzelpetersilie roh (0.85) | Petersilienblatt tiefgefroren (0.85) | Kohlrabi gedünstet (mit Fett und Salz) mit Petersilie (0.85),Petersilie getrocknet [off_id=20226558] conf=0.85 (fuzzy),"Pesto Basilico e Rucula (0.48) | Petersilie getrocknet (0.85) | Petersilie - Erntefrisch, Gefriergetrocknet (0.85) | Petersilie Gerebelt (0.85) | Karotte Orange (Bio-Suppe mit Kokosmilch und Ingwer) (0.30)",other,bad,bad,bad,
517fc874-ad36-4723-9408-0ba10f7861d5,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Bio Limetten 1,99 A",1.0,piece,1.99,,0.5,TRUE,Bio Limetten,Limette roh [bls_code=F602100] conf=0.85 (fuzzy),"Limette roh (0.85) | Limettensaft (0.85) | Limettensaft Konzentrat (0.85) | Hackfleischteig roh (für Frikadellen, Buletten, Fleischklopse/-küchle/-pflanzerl) (0.75) | Sahneersatz (Mischung aus pflanzlichen Fetten und Milch) (0.71)",Limetten Saft [off_id=4003387006012] conf=0.85 (fuzzy),Limetten Saft (0.85) | Bio Limetten (1.00) | Bio-Fairtrade-Limetten (1.00) | Bio Limetten (1.00) | Limetten (0.85),other,good,bad,bad,
c9574418-4e27-40cd-b21c-4fab8a121b8b,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Weidemilch 3,8% 1,19 A",1.0,piece,1.19,,0.5,TRUE,Weidemilch,"Milch fettarm, frisch, 1,5 % Fett, pasteurisiert [bls_code=M111200] conf=0.85 (fuzzy)","Milch fettarm, frisch, 1,5 % Fett, pasteurisiert (0.85) | H-Milch fettarm, 1,5 % Fett, ultrahocherhitzt (0.85) | Joghurt mild, aus entrahmter Milch, max. 1 % Fett, mit Fruchtzubereitung, gesüßt (0.85) | Milch entrahmt, frisch, höchstens 0,1 % Fett, pasteurisiert (0.85) | Milch fettarm, 1,5 % Fett, laktosefrei, pasteurisiert (0.85)",Weidemilch [off_id=4061462544262] conf=1.00 (exact),Frische Weidemilch (0.85) | frische Weidemilch (0.85) | Deutsche Markenbutter aus Weidemilch Süßrahm (0.85) | Weidemilch (1.00) | Frische Weidemilch (0.85),dairy,good,good,good,
5cc0d5e7-9b8b-483e-a5c4-0159e175d6a9,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Exquisa fitlineNatur 1,59 A",1.0,piece,1.59,,0.5,TRUE,Exquisa fitlineNatur,"Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade [bls_code=C539100] conf=0.85 (fuzzy)","Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade (0.85) | Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr. (0.85) | Frischkäse aus Ziegenmilch, Natur, mind. 45 % Fett i. Tr. (0.85) | Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade, angereichert mit Vitaminen und Mineralstoffen (0.85) | Frischkäsezubereitung Natur, mind. 50 % Fett i. Tr. (0.85)",,,other,bad,bad,bad,
6bf23279-4d79-4a28-a525-71f9f4ee9f2c,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Bio-Eier OKT 10er 3,99 A",1.0,piece,3.99,,0.5,TRUE,Bio-Eier OKT 10er,"Rhabarberkompott mit einer Zuckerart und Süßungsmitteln, Konserve [bls_code=F957900] conf=0.89 (fuzzy)","Rhabarberkompott mit einer Zuckerart und Süßungsmitteln, Konserve (0.89) | Preiselbeere mit einer Zuckerart und Süßungsmitteln (mit Pektin) Konserve (0.89) | Eierteigwaren roh (0.85) | Eierteigwaren Tortellini (Fleischfüllung) getrocknet (0.85) | Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet (0.85)",,,protein,bad,bad,bad,
1edac537-14b2-4b64-a470-76646701ce9e,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Bio Müsli Schoko Kn. 2,65 A",1.0,piece,2.65,,0.5,TRUE,Bio Müsli Schoko Kn,"Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack [bls_code=C534300] conf=0.85 (fuzzy)","Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack (0.85) | Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade (0.85) | Schokoladeneis (0.85) | Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme (0.85) | Schokoladen-Schaumkuss (0.85)",,,grain,good,bad,bad,
cd8d9096-6e3c-420a-b96e-c2e89daa45c6,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Lava Bar Cookie 1,69 A",1.0,piece,1.69,,0.5,TRUE,Lava Bar Cookie,"Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme [bls_code=S581100] conf=1.00 (fuzzy)","Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme (1.00) | Milchschokoladen-Riegel gefüllt mit Candycreme/mit Candycreme und Karamell (1.00) | Vollmilchschokoladen-Riegel gefüllt mit Milchcreme (1.00) | Vollmilchschokoladen-Riegel gefüllt mit Joghurt-Erdbeercreme (1.00) | Milchschokoladen-Riegel gefüllt mit Karamell und Knusperkeks (1.00)",LAVA BAR COOKIES & CREAM [off_id=4260639153782] conf=1.00 (fuzzy),LAVA BAR COOKIES & CREAM (1.00),other,bad,good,bad,
9ea14ff0-24a4-4c65-ad0c-37256157f77e,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Dinkelschnitte 1,29 A",1.0,piece,1.29,,0.5,TRUE,Dinkelschnitte,Dinkel Vollkornmehl [bls_code=C235000] conf=0.85 (fuzzy),"Dinkel Vollkornmehl (0.85) | Dinkel Grieß (0.85) | Dinkel ganzes Korn, roh (0.85) | Dinkel Vollkornschrot (0.85) | Dinkel Mehl, Type 630 (0.85)",Dinkelschnitte [off_id=4061458128841] conf=1.00 (exact),Dinkelschnitte (1.00),other,bad,good,bad,
e93b8d45-287f-4410-a47f-e67a3d2d9a7b,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Walnusskerne 2,99 A",1.0,piece,2.99,,0.5,TRUE,Walnusskerne,Nuss-Nougat-Creme [bls_code=S145000] conf=0.85 (fuzzy),"Nuss-Nougat-Creme (0.85) | Schwein Nuss, roh (0.85) | Walnuss (0.85) | Schwein Bratenfleisch (Nuss) roh (0.85) | Schwein Schnitzel (Nuss) roh (0.85)",Walnusskerne [off_id=4008258130018] conf=1.00 (exact),Walnusskerne naturbelassen (0.85) | Walnusskerne (1.00) | WALNUSS-KERNE (0.96) | Walnusskerne (1.00) | Walnusskerne (1.00),other,bad,good,bad,
80f8e9ca-c1bd-44f9-b400-db164f8495af,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Bio Cashewkerne 2,45 A",1.0,piece,2.45,,0.5,TRUE,Bio Cashewkerne,Cashewkern [bls_code=H170100] conf=0.85 (fuzzy),"Cashewkern (0.85) | Cashewnussmus (0.85) | Käsealternative, Basis Cashewkerne, vegan (0.85) | Cashewkern geröstet mit Fett (0.85) | Cashewkern geröstet ohne Fett (0.85)",Bio Cashewkerne [off_id=4335619016743] conf=1.00 (exact),Bio Cashewkerne (1.00) | Cashewkerne (0.85) | Cashewbruch (0.64) | Bio-Vitalgebäck - Erdnüsse & Cashewkerne (1.00) | Bio Cashewkerne naturbelassen aus Westafrika (1.00),other,good,good,bad,
cf4cd0f6-9400-48c4-acd2-a4e4484b7648,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Rinderhackfleisch 5% 5,99 A",1.0,piece,5.99,,0.5,TRUE,Rinderhackfleisch,"Schwein Fettwamme, ohne Schwarten, geringer Magerfleischanteil (S XI) roh [bls_code=U505100] conf=0.85 (fuzzy)","Schwein Fettwamme, ohne Schwarten, geringer Magerfleischanteil (S XI) roh (0.85) | Kaninchen Fleisch, roh (0.85) | Hase Fleisch, roh (0.85) | Schwein Rückenspeck, kernig, ohne Schwartenzug (S VIII) roh (0.85) | Schwein Speck, ohne Schwartenzug (S VII) roh (0.85)",,Frisches Rinderhackfleisch Bio (0.85) | Rinderhackfleisch (1.00) | ALDI MEINE METZGEREI Fettreduziertes Rinderhackfleisch Frisch nur 5 % Fett; vielseitig verwendbar Aus der Kühlung 4.79€ 400-g-Packung 1kg 11.98€ (0.85) | Rinderhackfleisch (1.00) | Rinderhackfleisch (1.00),protein,bad,bad,bad,
04698622-e165-4091-bfe4-1ad84c260e62,1b66426a-f508-4e82-8c63-dae566dd3202,2026.06.30_23001961862026063034796.jpg.png,"Puten-Geschnetzeltes 4,59 x 2 9,18 A",2.0,piece,9.18,,0.9,FALSE,Puten-Geschnetzeltes,Putenei roh [bls_code=E151100] conf=0.85 (fuzzy),"Putenei roh (0.85) | Pute Fleisch, mit Haut, roh (0.85) | Pute Brust, ohne Haut, roh (0.85) | Pute Flügel, mit Haut, roh (0.85) | Pute Innereien, roh (0.85)",Puten-Geschnetzelte [off_id=4058204567160] conf=0.97 (exact),Familien-Packung Puten-Geschnetzeltes (0.85) | Puten-Geschnetzelte (0.97) | ja! Puten-Geschnetzeltes in pfeffriger Sauce mit Spätzle und Gemüse 4337256528979 (0.85) | Wilhelm Brandenburg Puten-Geschnetzeltes (0.85) | Frische Puten-Geschnetzeltes (0.85),other,bad,good,bad,
55291075-9ffb-4162-8ccf-166c07fed72d,8d554238-2f93-4096-9d0c-e0a516bcda25,IMG_1928.JPG,"745 7] Geg, BAR EUR 1,20 EST",1.0,piece,1.2,,0.5,TRUE,"745 7] Geg, BAR EUR","Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme [bls_code=S581100] conf=1.00 (fuzzy)","Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme (1.00) | Milchschokoladen-Riegel gefüllt mit Candycreme/mit Candycreme und Karamell (1.00) | Vollmilchschokoladen-Riegel gefüllt mit Milchcreme (1.00) | Vollmilchschokoladen-Riegel gefüllt mit Joghurt-Erdbeercreme (1.00) | Milchschokoladen-Riegel gefüllt mit Karamell und Knusperkeks (1.00)",,,other,bad,bad,bad,bad extraction
ab7d696c-4b00-4199-a13a-ff6ab59c07fa,8d554238-2f93-4096-9d0c-e0a516bcda25,IMG_1928.JPG,"Sn DS B= 7,0% 1,11 0,08 1,19 nm",1.0,piece,1.19,,0.5,TRUE,"Sn DS B= 1,11 0,08",,"Pilsner Bier, 0,0 % vol (0.44) | Ascorbinsäure (E 300) (0.36) | Weizen Mehl, Type 1050 (0.35) | Weizen Mehl, Type 1600 (0.35) | Roggen Mehl, Type 1150 (0.35)",,,other,bad,bad,bad,bad extraction
